ID,movie_title,class,year,runtime,rating,meta
tt0478970,Ant-Man,PG-13,2015.0,117.0,7.3,64.0
tt0082694,Mad Max 2: The Road Warrior,R,1981.0,96.0,7.6,77.0
tt2404233,Gods of Egypt,PG-13,2016.0,127.0,5.4,25.0
tt1637688,In Time,PG-13,2011.0,109.0,6.7,53.0
tt10944486,Chick Fight,R,2020.0,97.0,4.1,39.0
tt0830515,Quantum of Solace,PG-13,2008.0,106.0,6.6,58.0
tt1790809,Pirates of the Caribbean: Dead Men Tell No Tales,PG-13,2017.0,129.0,6.5,39.0
tt2239822,Valerian and the City of a Thousand Planets,PG-13,2017.0,136.0,6.5,51.0
tt1631867,Edge of Tomorrow,PG-13,2014.0,113.0,7.9,71.0
tt1320253,The Expendables,R,2010.0,103.0,6.5,45.0
tt0234215,The Matrix Reloaded,R,2003.0,138.0,7.2,62.0
tt0116629,Independence Day,PG-13,1996.0,145.0,7.0,59.0
tt0103064,Terminator 2: Judgment Day,R,1991.0,137.0,8.5,75.0
tt0097576,Indiana Jones and the Last Crusade,PG-13,1989.0,127.0,8.2,65.0
tt6189022,Angel Has Fallen,R,2019.0,121.0,6.4,45.0
tt2333784,The Expendables 3,PG-13,2014.0,126.0,6.1,35.0
tt0099810,The Hunt for Red October,PG,1990.0,135.0,7.6,58.0
tt0796366,Star Trek,PG-13,2009.0,127.0,7.9,82.0
tt4520364,Morgan,R,2016.0,92.0,5.8,48.0
tt4196776,Jason Bourne,PG-13,2016.0,123.0,6.6,58.0
tt0103776,Batman Returns,PG-13,1992.0,126.0,7.0,68.0
tt2713180,Fury,R,2014.0,134.0,7.6,64.0
tt0120616,The Mummy,PG-13,1999.0,124.0,7.0,48.0
tt0338526,Van Helsing,PG-13,2004.0,131.0,6.1,35.0
tt0087332,Ghostbusters,PG,1984.0,105.0,7.8,71.0
tt4649466,Kingsman: The Golden Circle,R,2017.0,141.0,6.7,44.0
tt1270798,X: First Class,PG-13,2011.0,131.0,7.7,65.0
